"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2026-03-20 ~ 2026-03-24"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 경기도"
"시군구 : 화성시 동탄구"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","동","층","매수자","매도자","건축년도","도로명","해제사유발생일","거래유형","중개사소재지","등기일자"
"1","경기도 화성시 동탄구 산척동","733","0733","0000","더레이크시티부영6단지","59.9912","202603","23","52,000","-","17","개인","개인","2018"," 84","-","중개거래","경기 화성시 동탄구","-"
"2","경기도 화성시 동탄구 장지동","966","0966","0000","금호어울림레이크","59.9600","202603","22","68,500","-","25","개인","개인","2018"," 17","-","중개거래","경기 화성시 동탄구","-"
"3","경기도 화성시 동탄구 산척동","791","0791","0000","중흥에스클래스에듀하이","83.0109","202603","22","71,800","-","18","개인","개인","2019"," 31","-","중개거래","경기 화성시 동탄구, 세종","-"
"4","경기도 화성시 동탄구 산척동","699","0699","0000","동탄 더샵 레이크에듀타운","84.4396","202603","22","100,000","-","20","개인","개인","2019"," 20","-","중개거래","경기 화성시 동탄구","-"
"5","경기도 화성시 동탄구 영천동","833","0833","0000","힐스테이트동탄역","54.5508","202603","22","49,600","-","2","개인","개인","2020"," 585","-","중개거래","경기 화성시 동탄구","-"
"6","경기도 화성시 동탄구 능동","1131","1131","0000","자연앤데시앙","59.5200","202603","21","44,800","-","2","개인","개인","2008"," 68","-","중개거래","경기 화성시 동탄구","-"
"7","경기도 화성시 동탄구 반송동","200","0200","0000","나루마을한화꿈에그린","113.1800","202603","21","86,000","-","12","개인","개인","2007"," 51","-","중개거래","경기 화성시 동탄구","-"
"8","경기도 화성시 동탄구 석우동","55","0055","0000","롯데캐슬","87.6400","202603","21","71,500","-","13","개인","개인","2008"," 231","-","중개거래","경기 화성시 동탄구","-"
"9","경기도 화성시 동탄구 석우동","53","0053","0000","우미린제일풍경채","75.8700","202603","21","69,500","-","18","개인","개인","2008"," 277","-","중개거래","경기 화성시 동탄구","-"
"10","경기도 화성시 동탄구 청계동","520","0520","0000","동탄역 시범한화 꿈에그린 프레스티지","84.5100","202603","21","148,000","-","25","개인","개인","2015"," 20","-","중개거래","경기 화성시 동탄구","-"
"11","경기도 화성시 동탄구 청계동","533","0533","0000","동탄역시범반도유보라아이비파크1.0","84.9885","202603","21","104,900","-","6","개인","개인","2015"," 168","-","중개거래","경기 화성시 동탄구","-"
"12","경기도 화성시 동탄구 청계동","533","0533","0000","동탄역시범반도유보라아이비파크1.0","84.9885","202603","21","105,200","-","17","개인","개인","2015"," 168","-","중개거래","경기 화성시 동탄구","-"
"13","경기도 화성시 동탄구 청계동","556","0556","0000","동탄역 더 힐","84.5202","202603","21","67,300","-","13","개인","개인","2017"," 46","-","중개거래","경기 화성시 동탄구","-"
"14","경기도 화성시 동탄구 목동","491","0491","0000","힐스테이트동탄","61.9248","202603","21","68,000","-","10","개인","개인","2019"," 59","-","중개거래","경기 화성시 동탄구","-"
"15","경기도 화성시 동탄구 능동","1134","1134","0000","포스코더샵2차","76.1565","202603","21","54,300","-","20","개인","개인","2008"," 21-12","-","중개거래","경기 화성시 동탄구","-"
"16","경기도 화성시 동탄구 능동","1132","1132","0000","동탄숲속마을 모아미래도1단지","59.3700","202603","21","52,500","-","7","개인","개인","2008"," 96","-","중개거래","경기 화성시 동탄구","-"
"17","경기도 화성시 동탄구 능동","1131","1131","0000","자연앤데시앙","84.5700","202603","21","51,000","-","18","개인","개인","2008"," 68","-","중개거래","경기 화성시 동탄구","-"
"18","경기도 화성시 동탄구 능동","1131","1131","0000","자연앤데시앙","59.9500","202603","21","45,300","-","3","개인","개인","2008"," 68","-","중개거래","경기 화성시 동탄구","-"
"19","경기도 화성시 동탄구 목동","491","0491","0000","힐스테이트동탄","84.8479","202603","21","80,500","-","9","개인","개인","2019"," 59","-","중개거래","경기 화성시 동탄구","-"
"20","경기도 화성시 동탄구 목동","491","0491","0000","힐스테이트동탄","84.8479","202603","21","80,700","-","6","개인","개인","2019"," 59","-","중개거래","경기 화성시 동탄구","-"
"21","경기도 화성시 동탄구 목동","489","0489","0000","동탄동원로얄듀크2차","84.9889","202603","21","63,500","-","5","개인","개인","2019"," 21","-","중개거래","경기 화성시 동탄구, 경기 화성시 병점구","-"
"22","경기도 화성시 동탄구 산척동","722","0722","0000","더레이크시티부영1단지","59.9912","202603","21","54,300","-","2","개인","개인","2018"," 91","-","중개거래","경기 화성시 동탄구","-"
"23","경기도 화성시 동탄구 산척동","733","0733","0000","더레이크시티부영6단지","59.9912","202603","21","52,300","-","6","개인","개인","2018"," 84","-","중개거래","경기 화성시 동탄구","-"
"24","경기도 화성시 동탄구 산척동","721","0721","0000","더레이크시티부영2단지","84.5200","202603","21","77,500","-","10","개인","개인","2018"," 65","-","중개거래","경기 오산시, 경기 화성시 동탄구","-"
"25","경기도 화성시 동탄구 산척동","718","0718","0000","동탄 더 레이크 팰리스","88.4828","202603","21","98,500","-","11","개인","개인","2018"," 35","-","중개거래","경기 화성시 동탄구","-"
"26","경기도 화성시 동탄구 산척동","718","0718","0000","동탄 더 레이크 팰리스","88.0250","202603","21","93,500","-","15","개인","개인","2018"," 35","-","중개거래","경기 화성시 동탄구","-"
"27","경기도 화성시 동탄구 산척동","745","0745","0000","레이크힐 반도유보라 아이비파크 10.2","96.7859","202603","21","52,000","-","12","개인","개인","2018"," 88","-","중개거래","경기 화성시 동탄구","-"
"28","경기도 화성시 동탄구 산척동","729","0729","0000","호수공원역 센트럴시티","60.3768","202603","21","68,800","-","7","개인","개인","2019"," 20","-","중개거래","경기 화성시 동탄구","-"
"29","경기도 화성시 동탄구 장지동","966","0966","0000","금호어울림레이크","59.9300","202603","21","69,600","-","17","개인","개인","2018"," 17","-","중개거래","경기 화성시 동탄구","-"
"30","경기도 화성시 동탄구 장지동","976","0976","0000","제일풍경채에듀앤파크","59.5765","202603","21","45,900","-","5","개인","개인","2018"," 26","-","중개거래","경기 화성시 동탄구","-"
"31","경기도 화성시 동탄구 장지동","1010","1010","0000","동탄2아이파크1단지","84.8688","202603","21","56,500","-","18","개인","개인","2019"," 123","-","중개거래","경기 화성시 동탄구","-"
"32","경기도 화성시 동탄구 여울동","998","0998","0000","동탄역에일린의뜰","84.9940","202603","21","62,500","-","4","개인","개인","2016"," 77","-","중개거래","경기 화성시 동탄구","-"
"33","경기도 화성시 동탄구 여울동","1001","1001","0000","동탄역더샵센트럴시티2차","74.9000","202603","21","73,000","-","5","개인","개인","2018"," 19","-","중개거래","경기 화성시 동탄구","-"
"34","경기도 화성시 동탄구 여울동","1089","1089","0000","동탄역롯데캐슬","65.9695","202603","21","160,000","-","47","개인","개인","2021"," 150","-","중개거래","경기 화성시 동탄구","-"
"35","경기도 화성시 동탄구 영천동","672","0672","0000","동탄역이지더원","84.9731","202603","21","66,000","-","9","개인","개인","2015"," 17","-","중개거래","경기 화성시 동탄구","-"
"36","경기도 화성시 동탄구 영천동","677","0677","0000","동탄역경남아너스빌","84.0086","202603","21","81,000","-","17","개인","개인","2016"," 21","-","중개거래","경기 화성시 동탄구","-"
"37","경기도 화성시 동탄구 영천동","788","0788","0000","동탄역푸르지오","74.8664","202603","21","86,500","-","7","개인","개인","2017"," 881-10","-","중개거래","경기 화성시 동탄구","-"
"38","경기도 화성시 동탄구 영천동","884","0884","0000","동탄파크푸르지오","84.9200","202603","21","60,800","-","7","개인","개인","2018"," 7","-","중개거래","경기 화성시 동탄구","-"
"39","경기도 화성시 동탄구 영천동","892","0892","0000","동탄파크자이","99.6918","202603","21","78,500","-","15","개인","개인","2018"," 117","-","중개거래","경기 화성시 동탄구, 경기 화성시 효행구","-"
"40","경기도 화성시 동탄구 영천동","890","0890","0000","동탄파크한양수자인","51.7900","202603","21","41,000","-","12","개인","개인","2019"," 30","-","중개거래","경기 성남시 수정구, 경기 화성시 동탄구","-"
"41","경기도 화성시 동탄구 신동","898","0898","0000","동탄2디에트르포레","55.9700","202603","21","43,800","-","11","개인","개인","2022"," 65","-","중개거래","경기 화성시 동탄구","-"
"42","경기도 화성시 동탄구 신동","898","0898","0000","동탄2디에트르포레","55.9700","202603","21","43,000","-","10","개인","개인","2022"," 65","-","중개거래","경기 화성시 동탄구","-"
"43","경기도 화성시 동탄구 목동","494","0494","0000","호반베르디움센트럴포레","84.8388","202603","21","62,800","-","19","개인","개인","2017"," 74","-","중개거래","경기 화성시 동탄구","-"
"44","경기도 화성시 동탄구 목동","486","0486","0000","동탄2신도시호반베르디움22단지","53.4754","202603","21","57,000","-","14","개인","개인","2017"," 104","-","중개거래","경기 화성시 동탄구","-"
