상호명	위도	경도	업종소분류	행정동	주소
뮤직슐레음악학원	37.2125927512495	127.058042039646	음악학원	동탄3동	경기도 화성시 동탄원천로 315-33
이상국어학원	37.2078158240215	127.110590589293	입시·교과학원	동탄5동	경기도 화성시 동탄순환대로 706
루나음악학원	37.187769219118	127.086798042657	음악학원	동탄6동	경기도 화성시 동탄기흥로353번길 99-7
외국어학원	37.2111274693874	127.050560489061	외국어학원	동탄3동	경기도 화성시 병점2로 140
엠엔에스학원	37.199919977816	127.11338381417	입시·교과학원	동탄4동	경기도 화성시 동탄대로시범길 142
교육컨설팅그룹더와이즈맨	37.1490671043726	127.128414055996	직원 훈련기관	동탄8동	경기도 화성시 경기동로 538
동탄잉글리시아이영어교습소	37.2087710573399	127.089063896445	입시·교과학원	동탄5동	경기도 화성시 동탄순환대로 881-10
허니스트	37.2028900160628	127.071619572138	음악학원	동탄1동	경기도 화성시 동탄반석로 160
어뮤즈필라테스	37.1919192054018	127.079470678039	요가/필라테스 학원	동탄2동	경기도 화성시 동탄나루로 55
필라테스채움	37.1735107181601	127.112736293954	요가/필라테스 학원	동탄7동	경기도 화성시 동탄산척로2가길 20
칸델라학원	37.1711532627029	127.118576608735	입시·교과학원	동탄7동	경기도 화성시 동탄순환대로 263
튼튼영어베이비리그화성동탄오산센터	37.1942926303653	127.073819038187	외국어학원	동탄2동	경기도 화성시 동탄솔빛로 61
디와이수학교습소	37.2070339676268	127.073065420224	입시·교과학원	동탄1동	경기도 화성시 동탄반석로 208
미래와상상	37.211344880331	127.066456589363	입시·교과학원	동탄1동	경기도 화성시 동탄반송2길 50
비앤	37.2060882385501	127.072456200919	입시·교과학원	동탄1동	경기도 화성시 동탄반석로 196
올탑학원	37.1673976356699	127.107255238632	입시·교과학원	동탄7동	경기도 화성시 동탄순환대로 127-19
이서현의말하는스피치	37.2000067072824	127.0715267356	입시·교과학원	동탄1동	경기도 화성시 동탄반석로 124
이룸과학학원	37.200747642493	127.114736751042	입시·교과학원	동탄4동	경기도 화성시 동탄순환대로 617
이앤피에듀	37.2040890288006	127.070595621198	외국어학원	동탄1동	경기도 화성시 동탄반석로 171
솔루니동탄정현독서논술교습소	37.170572732987	127.113306172804	입시·교과학원	동탄7동	경기도 화성시 동탄대로8길 60
기탄사고력교실SM학원	37.2044651124004	127.109301523145	입시·교과학원	동탄5동	경기도 화성시 동탄순환대로29길 64
민병석기타교습소	37.2018053693702	127.061615832191	레크리에이션 교육기관	동탄1동	경기도 화성시 동탄공원로1길 6-31
황은영국어2관학원	37.2073669793915	127.073674059106	입시·교과학원	동탄1동	경기도 화성시 동탄원천로 163
하늘닮기미술학원	37.1885457506951	127.07080639687	미술학원	동탄2동	경기도 화성시 금반1길 10
트렌드랩입시전문학원	37.2014844107036	127.07156192273	입시·교과학원	동탄1동	경기도 화성시 동탄중심상가1길 36
리흐테르음악학원	37.1645055439896	127.096420207122	음악학원	동탄8동	경기도 화성시 동탄순환대로 26
과외하는수학학원	37.1875809153768	127.085536460253	입시·교과학원	동탄6동	경기도 화성시 동탄기흥로353번길 102
윙글즈영어학원	37.1617893635397	127.111266554097	입시·교과학원	동탄8동	경기도 화성시 동탄대로4길 47
맥스플러스수학학원	37.2067878574416	127.111411438328	입시·교과학원	동탄5동	경기도 화성시 동탄순환대로 692
이스트만음악학원	37.2045559732398	127.108479329309	음악학원	동탄5동	경기도 화성시 동탄순환대로29길 56
책나무청계독서학원	37.201696223417	127.102189757506	입시·교과학원	동탄4동	경기도 화성시 동탄대로시범길 261
라인아뜰리에미술교습소	37.1878602010776	127.085593086473	미술학원	동탄6동	경기도 화성시 동탄기흥로353번길 100
리한필라테스	37.1990191644781	127.113134661046	요가/필라테스 학원	동탄4동	경기도 화성시 동탄대로시범길 134
무브온클래식필라테스	37.1933903416549	127.1000611062	요가/필라테스 학원	동탄4동	경기도 화성시 동탄대로 446
고은쌤의버닝공방&연구소	37.2098777883948	127.063503736832	기타 기술/직업 훈련학원	동탄1동	경기도 화성시 동탄반송1길 26-21
시온MUSIC색소폰，클라리넷교실	37.2070339676268	127.073065420224	음악학원	동탄1동	경기도 화성시 동탄반석로 208
스카이동탄영어수학학원	37.2004771637232	127.114905303415	입시·교과학원	동탄4동	경기도 화성시 동탄대로시범길 148-22
슈슈팝	37.1807509545675	127.125900119438	기타 예술/스포츠 교육기관	동탄9동	경기도 화성시 왕배산2길 3-5
김영식수학교습소	37.1996101698556	127.071650265372	입시·교과학원	동탄1동	경기도 화성시 동탄반석로 120
여섯소리기타교습소	37.1619434615757	127.119575476938	음악학원	동탄8동	경기도 화성시 동탄대로4길 123
업소명없음	37.225379562407	127.072688741051	기타 기술/직업 훈련학원	동탄1동	경기도 화성시 삼성1로5길 6
자연아트테라피센타	37.217872161097	127.059533289658	그 외 기타 교육기관	동탄3동	경기도 화성시 동탄하나1길 47-5
하귀영언어발달연구소	37.1844477851353	127.104813023051	입시·교과학원	동탄6동	경기도 화성시 동탄대로14길 5-59
공리국어학원	37.1665506232257	127.107276559848	입시·교과학원	동탄7동	경기도 화성시 동탄순환대로 127-9
드림메이커스사회적협동조합	37.2010417304719	127.073465155465	교육컨설팅업	동탄1동	경기도 화성시 노작로 147
한마음음악교습소	37.2087361306862	127.058298188776	음악학원	동탄3동	경기도 화성시 동탄숲속로 95-1
연리제	37.1677580475961	127.10726700722	미술학원	동탄7동	경기도 화성시 동탄순환대로 127-23
주니크컬러	37.2045112000909	127.072781370213	교육컨설팅업	동탄1동	경기도 화성시 동탄지성로 11
써미트교육	37.1971946965596	127.09776834622	교육컨설팅업	동탄6동	경기도 화성시 동탄대로19길 10
유니팝미술교습소	37.2102288635805	127.112475460459	미술학원	동탄5동	경기도 화성시 동탄대로24길 117
영어알다학원	37.1617888124473	127.111851988761	입시·교과학원	동탄8동	경기도 화성시 동탄대로4길 53
우츠랩	37.210772056396	127.099543302301	기타 기술/직업 훈련학원	동탄5동	경기도 화성시 동탄대로 636-1
여울피아노	37.1953702598713	127.091897782715	음악학원	동탄6동	경기도 화성시 동탄기흥로 393-15
유케이체육문화센터	37.198222704203	127.05442662417	레크리에이션 교육기관	동탄3동	경기도 화성시 10용사로 336-7
이안스즈키바이올린&첼로학원	37.1820235163827	127.123931490787	음악학원	동탄9동	경기도 화성시 동탄신리천로 414
프리띵	37.2072330265165	127.09701526617	기타 기술/직업 훈련학원	동탄5동	경기도 화성시 동탄대로21가길 4-14
탑클래스수학영어학원	37.1617893635397	127.111266554097	입시·교과학원	동탄8동	경기도 화성시 동탄대로4길 47
토와빔	37.2131485380713	127.063619138001	기타 예술/스포츠 교육기관	동탄3동	경기도 화성시 동탄하나3길 15-3
생각하는윤쌤국어교습소	37.2028417591987	127.061267475975	입시·교과학원	동탄1동	경기도 화성시 동탄공원로1길 16-25
리드인독서논술동탄능동학원	37.2097080652699	127.060687221178	입시·교과학원	동탄3동	경기도 화성시 동탄지성로 136
오하운폴댄스학원	37.1975741081066	127.096586148281	레크리에이션 교육기관	동탄6동	경기도 화성시 동탄역로 124
키즈스피치예소스학원	37.2073669793915	127.073674059106	그 외 기타 교육기관	동탄1동	경기도 화성시 동탄원천로 163
한국파워점핑줄넘기	37.1670011611248	127.1072659375	요가/필라테스 학원	동탄7동	경기도 화성시 동탄순환대로 127-17
아트앤하트동탄한율미술교습소	37.187729186857	127.122003711471	미술학원	동탄9동	경기도 화성시 동탄순환대로19길 21
달중아트	37.1975756875967	127.050495131459	기타 기술/직업 훈련학원	동탄3동	경기도 화성시 남여울1길 30-11
올정	37.2052501651633	127.072613107356	기타 교육지원 서비스업	동탄1동	경기도 화성시 동탄지성로 18
청어람수학전문학원	37.2005021423807	127.071763749689	입시·교과학원	동탄1동	경기도 화성시 동탄중심상가1길 5
디케이리센터톡플레이아트마인드코칭	37.1990191644781	127.113134661046	입시·교과학원	동탄4동	경기도 화성시 동탄대로시범길 134
에프엠에듀	37.199591477102	127.056196053378	입시·교과학원	동탄3동	경기도 화성시 10용사로 349-5
폴링폴댄스	37.2079961914653	127.110421873966	레크리에이션 교육기관	동탄5동	경기도 화성시 동탄순환대로 708
제2동탄ECC어학원	37.20687003745	127.110251257141	입시·교과학원	동탄5동	경기도 화성시 동탄순환대로 697
씨에스에이	37.2140917525273	127.094872214221	입시·교과학원	동탄5동	경기도 화성시 동탄기흥로 602
알엔에스로봇코딩로보티즈키즈랩동탄	37.1826534496962	127.124698299859	그 외 기타 교육기관	동탄9동	경기도 화성시 동탄순환대로20길 124
월드조이	37.1796065696058	127.117159670996	입시·교과학원	동탄7동	경기도 화성시 동탄신리천로1길 91
용인대백호태권도장	37.2096788499338	127.10297783962	태권도/무술학원	동탄5동	경기도 화성시 동탄영천로 81-5
아트리	37.1843304088709	127.105083142137	요가/필라테스 학원	동탄6동	경기도 화성시 동탄대로14길 5-63
써와이피시피교육	37.2010417304719	127.073465155465	기타 교육지원 서비스업	동탄1동	경기도 화성시 노작로 147
달망	37.165443253584	127.095667050792	그 외 기타 교육기관	동탄7동	경기도 화성시 동탄순환대로3길 27-25
뮤직아일랜드학원	37.1660820641811	127.107287156603	음악학원	동탄7동	경기도 화성시 동탄순환대로 127-5
동탄수학국어과학수인재학원	37.1673976356699	127.107255238632	입시·교과학원	동탄7동	경기도 화성시 동탄순환대로 127-19
필라테스블랙반송북	37.2058897102187	127.07294040292	요가/필라테스 학원	동탄1동	경기도 화성시 동탄중심상가2길 7
칼수학에듀	37.2072410978421	127.073245861935	입시·교과학원	동탄1동	경기도 화성시 동탄반석로 212
리조트랩레이크꼬모	37.1720679418999	127.104075287646	요가/필라테스 학원	동탄7동	경기도 화성시 동탄대로 181
맥스체대입시동탄	37.2039799455558	127.072183834079	입시·교과학원	동탄1동	경기도 화성시 동탄반석로 172
이솔남동탄에이프릴	37.1702704094576	127.118395075153	외국어학원	동탄7동	경기도 화성시 동탄순환대로 253
너의수학학원	37.1705182814375	127.113711439595	입시·교과학원	동탄7동	경기도 화성시 동탄대로8길 64
일공일STUDIO	37.2184408674534	127.057415579602	기타 예술/스포츠 교육기관	동탄3동	경기도 화성시 동탄원천로 360
한국도로공사인재개발원	37.176311854465	127.113934072003	직원 훈련기관	동탄7동	경기도 화성시 동탄산척로2길 53-7
아이아이연구소	37.2147152698181	127.103491665029	요가/필라테스 학원	동탄5동	경기도 화성시 동탄대로 706
경희대LionStar태권도장	37.187769219118	127.086798042657	태권도/무술학원	동탄6동	경기도 화성시 동탄기흥로353번길 99-7
리아잉글리시아이학원	37.1645055439896	127.096420207122	입시·교과학원	동탄8동	경기도 화성시 동탄순환대로 26
요가달리	37.1915215024804	127.066889724138	요가/필라테스 학원	동탄2동	경기도 화성시 10용사1길 49-1
제이유보컬스튜디오	37.2078810778716	127.097872252436	기타 교육지원 서비스업	동탄5동	경기도 화성시 동탄대로21길 10
뮤엠영어푸른학원	37.199591477102	127.056196053378	입시·교과학원	동탄3동	경기도 화성시 10용사로 349-5
아르떼창작소미술학원	37.1617888124473	127.111851988761	미술학원	동탄8동	경기도 화성시 동탄대로4길 53
하비엘	37.1702704094576	127.118395075153	요가/필라테스 학원	동탄7동	경기도 화성시 동탄순환대로 253
동탄여울주짓수	37.1992923804656	127.088557145717	태권도/무술학원	동탄6동	경기도 화성시 동탄감배산로 143
동탄Monde댄스STUDIO	37.2015367212297	127.10927477195	레크리에이션 교육기관	동탄4동	경기도 화성시 동탄대로시범길 185
바인피티앤필라테스	37.2070242075293	127.074270775874	요가/필라테스 학원	동탄1동	경기도 화성시 동탄원천로 157
동탄에듀스터디온학원	37.1998169210371	127.055813243683	입시·교과학원	동탄3동	경기도 화성시 10용사로 343-10
소잉온	37.2010615895934	127.05316707098	기타 기술/직업 훈련학원	동탄3동	경기도 화성시 여울로 19
이편한공부방	37.1914103263969	127.125985391393	입시·교과학원	동탄9동	경기도 화성시 동탄순환대로20길 31
퀸스영어	37.1665506232257	127.107276559848	입시·교과학원	동탄7동	경기도 화성시 동탄순환대로 127-9
남명아카데미	37.1998169210371	127.055813243683	입시·교과학원	동탄3동	경기도 화성시 10용사로 343-10
핸드메이드꾸냥	37.2032201947733	127.061279046391	기타 기술/직업 훈련학원	동탄1동	경기도 화성시 동탄공원로1길 22-23
한솔브레인학원	37.1670011611248	127.1072659375	입시·교과학원	동탄7동	경기도 화성시 동탄순환대로 127-17
수피아노학원	37.1645055439896	127.096420207122	음악학원	동탄8동	경기도 화성시 동탄순환대로 26
신래윤킬러영어	37.2015010629361	127.10885794255	외국어학원	동탄4동	경기도 화성시 동탄대로시범길 189
동탄이든주니어축구클럽	37.2069976668854	127.098332980202	요가/필라테스 학원	동탄5동	경기도 화성시 동탄대로 597
대치힐영어학원	37.199919977816	127.11338381417	입시·교과학원	동탄4동	경기도 화성시 동탄대로시범길 142
알레그로뮤직클래스	37.2011730547456	127.091871024359	음악학원	동탄6동	경기도 화성시 동탄기흥로 447-16
알피영어학원	37.2060882385501	127.072456200919	입시·교과학원	동탄1동	경기도 화성시 동탄반석로 196
공방정인	37.2084077133005	127.113554225964	기타 예술/스포츠 교육기관	동탄5동	경기도 화성시 지산1길 18-24
엠베스트SE능동캠퍼스학원	37.2096456709935	127.05934657855	입시·교과학원	동탄3동	경기도 화성시 동탄지성로 145
씨엠에스동탄교육원	37.1996819805993	127.072100893364	입시·교과학원	동탄1동	경기도 화성시 동탄문화센터로 61
소유색	37.2127946564048	127.094352356422	그 외 기타 교육기관	동탄5동	경기도 화성시 동탄기흥로 590
노피곰국어전문학원	37.1670011611248	127.1072659375	입시·교과학원	동탄7동	경기도 화성시 동탄순환대로 127-17
공터영어시범카림센터학원	37.200747642493	127.114736751042	입시·교과학원	동탄4동	경기도 화성시 동탄순환대로 617
한국체대천마태권도장	37.1705182814375	127.113711439595	태권도/무술학원	동탄7동	경기도 화성시 동탄대로8길 64
매쓰홀릭수학학원	37.20738297282	127.110961707415	입시·교과학원	동탄5동	경기도 화성시 동탄순환대로 702
카운터복싱	37.1677580475961	127.10726700722	태권도/무술학원	동탄7동	경기도 화성시 동탄순환대로 127-23
동탄2목동잉글루학원	37.1830137402247	127.124822768895	외국어학원	동탄9동	경기도 화성시 동탄순환대로20길 118
투비단	37.225379562407	127.072688741051	외국어학원	동탄1동	경기도 화성시 삼성1로5길 6
청계이언어학원	37.2007211334138	127.114196031541	입시·교과학원	동탄4동	경기도 화성시 동탄대로시범길 148-58
애니핸즈아카데미	37.208355942969	127.061745075913	레크리에이션 교육기관	동탄1동	경기도 화성시 동탄공원로3길 32-6
에이치필라테스	37.2075903933455	127.110770503133	요가/필라테스 학원	동탄5동	경기도 화성시 동탄순환대로 704
청계와이즈리더영어독서학원	37.1990191644781	127.113134661046	외국어학원	동탄4동	경기도 화성시 동탄대로시범길 134
르클래식	37.2070339676268	127.073065420224	음악학원	동탄1동	경기도 화성시 동탄반석로 208
미래인재교육협회	37.2182206967701	127.079746129163	입시·교과학원	동탄1동	경기도 화성시 큰재봉길 23-4
수학파트너청계관학원	37.2003346978011	127.113136624346	입시·교과학원	동탄4동	경기도 화성시 동탄대로시범길 146
씨알에스	37.2149343881152	127.100157149085	요가/필라테스 학원	동탄5동	경기도 화성시 동탄대로 677-12
버담솔루션	37.2141135973256	127.089971467837	그 외 기타 교육기관	동탄5동	경기도 화성시 동탄첨단산업1로 51-9
필라테스더하임	37.2042958529823	127.096707360023	요가/필라테스 학원	동탄6동	경기도 화성시 동탄역로 196
어울림수학	37.2091465080235	127.066116699163	입시·교과학원	동탄1동	경기도 화성시 동탄반송3길 30-7
자강수학학원	37.1751039975132	127.114393932607	입시·교과학원	동탄7동	경기도 화성시 동탄대로10나길 21
에이앤코	37.2099442569634	127.098145289671	기타 기술/직업 훈련학원	동탄5동	경기도 화성시 동탄대로 635
영어	37.1744013600472	127.114201449124	입시·교과학원	동탄7동	경기도 화성시 동탄산척로2나길 4-8
라뮤지크음악교습소	37.1772828055409	127.116187664641	음악학원	동탄7동	경기도 화성시 동탄산척로2길 56
디딤에듀	37.2015367212297	127.10927477195	입시·교과학원	동탄4동	경기도 화성시 동탄대로시범길 185
한국드론산업협회교육원	37.2140917525273	127.094872214221	그 외 기타 교육기관	동탄5동	경기도 화성시 동탄기흥로 602
디쉐어에이닷	37.1996819805993	127.072100893364	입시·교과학원	동탄1동	경기도 화성시 동탄문화센터로 61
피엘디폴스토리	37.2000067072824	127.0715267356	레크리에이션 교육기관	동탄1동	경기도 화성시 동탄반석로 124
에이스배드민턴화성	37.1999118693308	127.044357786557	요가/필라테스 학원	동탄3동	경기도 화성시 병점중앙로 11
프라임에듀	37.1899926375164	127.089728853672	입시·교과학원	동탄6동	경기도 화성시 동탄감배산로 19
아이엘이어학원	37.2003346978011	127.113136624346	외국어학원	동탄4동	경기도 화성시 동탄대로시범길 146
라온수학	37.1662327350362	127.127970213085	입시·교과학원	동탄7동	경기도 화성시 동탄순환대로10길 88
레인보우음악줄넘기	37.1721191228863	127.107306951298	요가/필라테스 학원	동탄7동	경기도 화성시 동탄대로 198
플레이앤런영어교실	37.2054999462764	127.061100651667	외국어학원	동탄1동	경기도 화성시 동탄공원로2길 14-13
작은아씨들	37.208022642367	127.061575825711	기타 기술/직업 훈련학원	동탄1동	경기도 화성시 동탄공원로3길 32-16
진아트미술교습소	37.1974320607846	127.114438877775	미술학원	동탄4동	경기도 화성시 동탄순환대로21길 54
동탄경매학원	37.1978624444258	127.096586515622	기타 기술/직업 훈련학원	동탄6동	경기도 화성시 동탄역로 128
리드인국어독서학원	37.1832947286127	127.123235350719	입시·교과학원	동탄9동	경기도 화성시 동탄순환대로 406
