아파트명	전용면적	타입명	거래건수
KCC스위첸아파트	84.01	25.4평_	285
KCC스위첸아파트	84.06	25.4평_	48
KCC스위첸아파트	84.11	25.4평_	96
METAPOLIS	96.22	29.1평_	296
METAPOLIS	107.778	32.6평_	110
METAPOLIS	109.482	33.1평_	18
METAPOLIS	112.444	34.0평_	135
METAPOLIS	126.772	38.3평_	33
METAPOLIS	127.741	38.6평_	24
METAPOLIS	128.44	38.9평_	204
METAPOLIS	161.891	49.0평_	29
METAPOLIS	187.117	56.6평_	36
METAPOLIS	209.254	63.3평_	9
METAPOLIS	230.549	69.7평_	5
e편한세상동탄파크아너스	99.9666	30.2평_	2
그린힐 반도유보라 아이비파크 10(1단지)	59.7731	18.1평_	317
그린힐 반도유보라 아이비파크 10(1단지)	59.8742	18.1평_	53
그린힐 반도유보라 아이비파크 10(1단지)	74.1263	22.4평_	205
그린힐 반도유보라 아이비파크 10(1단지)	84.9991	25.7평_	55
금호어울림레이크	59.93	18.1평_	219
금호어울림레이크	59.96	18.1평_	66
금호어울림레이크	74.97	22.7평_	98
금호어울림레이크	84.96	25.7평_	11
금호어울림레이크2차	74.99	22.7평_	76
금호어울림레이크2차	84.87	25.7평_	1
금호어울림레이크2차	84.96	25.7평_	48
금호어울림레이크2차	84.97	25.7평_	130
기안마을풍성신미주	84.8008	25.7평_	1
나루마을신도브래뉴	96.4338	29.2평_	312
나루마을신도브래뉴	103.9466	31.4평_	275
나루마을신도브래뉴	128.015	38.7평_	164
나루마을신도브래뉴	128.0152	38.7평_	36
나루마을월드메르디앙반도유보라	101.9599	30.8평_	176
나루마을월드메르디앙반도유보라	110.7323	33.5평_	79
나루마을월드메르디앙반도유보라	116.0155	35.1평_	156
나루마을월드메르디앙반도유보라	139.4524	42.2평_	78
나루마을월드메르디앙반도유보라	166.9669	50.5평_	37
나루마을한화꿈에그린	96.84	29.3평_	126
나루마을한화꿈에그린	97.6	29.5평_	202
나루마을한화꿈에그린	113.18	34.2평_	102
나루마을한화꿈에그린	113.61	34.4평_	166
나루마을한화꿈에그린	113.64	34.4평_	93
나루마을한화꿈에그린우림필유	84.94	25.7평_	394
나루마을한화꿈에그린우림필유	84.96	25.7평_	422
능동마을이지더원	78.2912	23.7평_	317
능동마을이지더원	83.5573	25.3평_	329
더레이크시티부영1단지	59.9912	18.1평_	157
더레이크시티부영1단지	60.3768	18.3평_	51
더레이크시티부영1단지	84.52	25.6평_	27
더레이크시티부영1단지	84.5413	25.6평_	18
더레이크시티부영1단지	84.5442	25.6평_	15
더레이크시티부영2단지	84.52	25.6평_	20
더레이크시티부영2단지	84.5413	25.6평_	15
더레이크시티부영2단지	84.5442	25.6평_	13
더레이크시티부영2단지	88.025	26.6평_	8
더레이크시티부영2단지	88.0279	26.6평_	9
더레이크시티부영2단지	88.4828	26.8평_	19
더레이크시티부영2단지	134.8169	40.8평_	7
더레이크시티부영2단지	134.9413	40.8평_	4
더레이크시티부영2단지	134.9668	40.8평_	1
더레이크시티부영5단지	60.3768	18.3평_	69
더레이크시티부영5단지	84.52	25.6평_	125
더레이크시티부영5단지	84.5413	25.6평_	43
더레이크시티부영5단지	84.5442	25.6평_	40
더레이크시티부영6단지	59.9912	18.1평_	211
더레이크시티부영6단지	60.5232	18.3평_	74
더레이크시티부영6단지	84.52	25.6평_	42
더레이크시티부영6단지	84.5413	25.6평_	18
더레이크시티부영6단지	84.5442	25.6평_	21
더샵센트럴시티	84.392	25.5평_	83
더샵센트럴시티	84.796	25.7평_	57
더샵센트럴시티	97.01	29.3평_	65
더샵센트럴시티	97.036	29.4평_	68
더샵센트럴시티	97.046	29.4평_	61
더샵센트럴시티	97.176	29.4평_	13
더샵센트럴시티	106.537	32.2평_	40
더샵센트럴시티	115.404	34.9평_	3
더샵센트럴시티	115.529	34.9평_	2
동탄 더 레이크 팰리스	84.52	25.6평_	44
동탄 더 레이크 팰리스	84.5413	25.6평_	25
동탄 더 레이크 팰리스	84.5442	25.6평_	24
동탄 더 레이크 팰리스	88.025	26.6평_	24
동탄 더 레이크 팰리스	88.0279	26.6평_	15
동탄 더 레이크 팰리스	88.4828	26.8평_	32
동탄 더 레이크 팰리스	134.8169	40.8평_	5
동탄 더 레이크 팰리스	134.9413	40.8평_	3
